num_requests,num_vehicles,lambda_val,M_val,mean_percent_serviced,sem_percent_serviced,n_runs,rank,tied_with_best
70,70,2500.0,25000.0,94.47619047619047,0.8113225314762201,15,7,True
70,70,20000.0,200000.0,94.0952380952381,0.5892900089172147,15,8,False
70,70,40000.0,80000.0,94.0952380952381,0.5892900089172146,15,9,False
70,70,20000.0,100000.0,94.09523809523809,0.7619047619047614,15,10,False
70,70,10000.0,100000.0,94.09523809523809,0.7090511140568903,15,11,False
70,70,10000.0,50000.0,93.90476190476191,0.6151104519976749,15,12,False
70,70,40000.0,200000.0,93.90476190476191,0.6151104519976741,15,13,False
70,70,20000.0,40000.0,93.14285714285714,0.6108828386569679,15,14,False
70,70,2500.0,12500.0,93.14285714285714,0.7787258787077093,15,15,False
80,40,20000.0,40000.0,94.83333333333333,0.5156287578025636,15,1,True
80,40,5000.0,10000.0,94.5,0.7791937224739797,15,2,True
80,40,2500.0,12500.0,94.33333333333333,0.5156287578025646,15,3,True
80,40,20000.0,200000.0,94.33333333333333,0.4542567625794975,15,4,True
80,40,40000.0,200000.0,94.33333333333333,0.6666666666666667,15,5,True
80,40,20000.0,100000.0,94.16666666666667,0.580776710364308,15,6,False
80,40,5000.0,25000.0,94.0,0.6362090102803512,15,7,False
80,40,10000.0,20000.0,93.83333333333333,0.41307979935470185,15,8,False
